"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.099988649E0,4.348972440E-2,-1.487328768E0,-1.096902847E0
2.117812868E0,3.105023801E-1,-1.265569687E0,-1.459702492E0
2.135635012E0,8.955547810E-1,-8.062131405E-1,-1.679468632E0
2.153461062E0,9.367194772E-1,-8.656742573E-1,-1.591185093E0
2.171287538E0,9.894451499E-1,-7.398457527E-1,-1.561522007E0
2.189107667E0,1.157793522E0,-3.456401825E-1,-1.752688408E0
2.206931276E0,1.278815746E0,1.847565174E-1,-1.802639008E0
2.224754579E0,1.185655594E0,4.757010937E-1,-1.184426308E0
2.242568056E0,7.434572577E-1,5.631785393E-1,-9.544973373E-1
2.260401979E0,1.761679649E-1,5.781853199E-1,-5.393295288E-1
2.278224856E0,-6.105186045E-2,3.648030758E-1,6.359367371E-1
2.296050600E0,-4.125320017E-1,-3.714740276E-1,1.897360802E0
2.313872316E0,-7.336765528E-1,-1.165166140E0,2.924392700E0
2.331698183E0,-7.055759430E-1,-1.625474930E0,3.666785240E0
2.349516298E0,-9.118878245E-1,-9.416260719E-1,3.957650185E0
2.367347413E0,-1.146626592E0,2.781443596E-1,1.717002869E0
2.385168459E0,-2.795382738E-1,4.295635223E-1,1.506322861E0
2.402992678E0,6.513754129E-1,-9.726431370E-1,5.094446182E0
2.420815797E0,-1.514068842E-1,-3.160339594E0,7.162234306E0
2.438638735E0,-1.027707815E0,-3.691689014E0,5.139677048E0
2.456463014E0,-1.484447360E0,-2.557973862E0,9.451341629E-1
2.474285341E0,-1.380484343E0,-1.765571833E0,-9.581565857E-1
2.492110597E0,-1.077776432E0,-1.644917965E0,-8.328247070E-1
2.509933779E0,-8.868001699E-1,-2.082612991E0,1.648178101E-1
2.527757692E0,-3.365992308E-1,-2.103012800E0,5.470323563E-1
2.545581422E0,1.870426834E-1,-1.936170578E0,6.140470505E-1
2.563405519E0,2.828349173E-1,-1.969289064E0,6.852626801E-2
2.581223757E0,3.712573946E-1,-1.817977190E0,-6.210680008E-1
2.599051272E0,6.472963095E-1,-1.297863960E0,-1.493363380E0
2.616876527E0,7.420949340E-1,-8.928403854E-1,-2.198868752E0
2.634701479E0,4.856418371E-1,-6.984300613E-1,-2.762049675E0
2.652523317E0,2.678012252E-1,-5.594153404E-1,-3.076096058E0
2.670347597E0,-8.546090126E-2,-7.039766312E-1,-2.766946793E0
2.688172304E0,-4.358719885E-1,-9.859964848E-1,-2.653982639E0
2.705995058E0,-4.798690081E-1,-1.032792091E0,-1.900412083E0
2.723818361E0,-8.156579137E-1,-1.425773382E0,-1.298115253E0
2.741641969E0,-1.028097034E0,-1.533509254E0,-6.792850494E-1
